main_topic	title	url


AI, ML & Data Engineering	Data Citizens: Why We All Care about Data Ethics	https://www.infoq.com/articles/data-ethics/
Development	Explore the New Java 10 “var” Type: An Introduction and Hands-on Tutorial	https://www.infoq.com/articles/java-10-var-type/
Development	Java Feature Spotlight: Local Variable Type Inference	https://www.infoq.com/articles/java-local-variable-type-inference/
Development	Your Roadmap to an Open Mobile Application Development Strategy	https://www.infoq.com/articles/open-madp-mobile-enterprise-apps/
Culture & Methods	Architecturally Aligned Testing	https://www.infoq.com/articles/architecturally-aligned-testing/
DevOps	Q&A with Tyler Treat on Microservice Observability	https://www.infoq.com/articles/tyler-treat-observability/
DevOps	Istio and the Future of Service Meshes	https://www.infoq.com/articles/istio-future-service-mesh/
DevOps	Observability-Driven Development for Tackling the Great Unknown	https://www.infoq.com/articles/observability-driven-development/
Architecture & Design	The Fundamental Truth behind Successful Development Practices: Software is Synthetic	https://www.infoq.com/articles/software-is-synthetic/
