article_id	title	main_topic	author	related_topics

1	Book Review: Developer, Advocate!	Development	Erik Costlow Geertjan Wielenga Jennifer Reif	Development|Architecture & Design|Culture & Methods|Neo4j|NoSQL|Culture|IDE|Graph Database|Database|Neo|Marketing|Java|InfoQ|Book Review|Netbeans
2	Q&A on the Book Quantum Leadership	Culture & Methods	Ben Linders Frederick Chavalit Tsao Chris Laszlo	Culture & Methods|Leadership|Culture|Business/IT Alignment|Enterprise Architecture|Business Value|Management|Mediation|Architecture|Mindfulness|InfoQ|Agile|Book Review
3	A Bottom-Up View of Kotlin Coroutines	Development	Garth Gilmour Eamonn Boyle Ben Evans	Development|Architecture & Design|Java Bytecode|Java|Kotlin|JVM Languages
4	Kubernetes Security: The State of the Union - a Virtual Panel	DevOps	Rags Srinivas Scott Coulton Liz Rice Gareth Rushgrove Maya Kaczorowski Kirsten Newcomer	Development|Architecture & Design|Culture & Methods|DevOps|Containers|Cloud Computing|Kubernetes|Cloud
5	Q&A on The Host Leadership Field Book	Culture & Methods	Mark McKergow Pierluigi Pugliese Ben Linders	Culture & Methods|Adaptive Leadership|Servant Leadership|Leadership|Teamwork|Team Collaboration|Collaboration|Distributed Team|InfoQ|Agile|Book Review|Stories & Case Studies
6	The Datum Data Binding Library	Development	Martin Rixham Dylan Schiemann	Development|Architecture & Design|JavaScript|Web Development|Dynamic Languages
7	Preparing Entity Framework Core for Static Analysis and Nullable Reference Types	Development	Jonathan Allen	Development|ADO.NET|Database|ORM|Microsoft|Code Analysis|Data Access|ADO.NET Entity Framework|.NET Core|Debugging|C# 8|Testing|.NET|Profilers
9	The Fundamental Truth behind Successful Development Practices: Software is Synthetic	Architecture & Design	John Rauser Charles Humble	Development|Architecture & Design|Chaos Engineering|Performance|Architecture|Monitoring|Resilience|Observability|application performance management
10	Q&A on the Book EDGE: Value-Driven Digital Transformation	Culture & Methods	Shane Hastie Jim Highsmith Linda Luu David Robinson	Culture & Methods|Adaptive Leadership|Leadership|Value & Metrics|Business Agility|Business/IT Alignment|Enterprise Architecture|Agile in the Enterprise|Architecture|Agile|Digital Transformation|Adopting Agile
11	Enterprise API Management: Q&A with Book Author Luis Weir	Development	Kent Weare Luis Augusto Weir	Development|Architecture & Design|API Strategy&Practice|SOA|Enterprise Architecture|ESB|API Gateway|Middleware|Architecture|InfoQ|Infrastructure|API-Design|Book Review|API
12	Candy Crush QA AI Saga	Culture & Methods	Alexander Andelkovic Ben Linders	Development|Culture & Methods|AI, ML & Data Engineering|Software Craftsmanship|Agile Conferences|Robotics|Artificial Intelligence|Automated testing|Agile|Quality|Automation|Stories & Case Studies
13	Q&A on the Book Creating your Dojo	Culture & Methods	Dion Stewart Joel Tosi Shane Hastie	Culture & Methods|learning|Training / Certification|Teaching
14	Programming Languages InfoQ Trends Report - October 2019	Development	Abel Avram Arthur Casals Dylan Schiemann Charles Humble Werner Schuster Dustin Schultz Ben Evans Jonathan Allen Daniel Bryant	Development|Architecture & Design|DevOps|C|InfoQ|Ruby|Programming Languages|System Programming|Dynamic Languages|Python|Functional Programming|Infrastructure as Code|Elixir|Go Language|InfoQ Trends Report|Swift|Erlang|Rust
15	What Is Account Creation Fraud? Complete Guide to Detection and Prevention	DevOps	Sam Bocetta Richard Seroter	Development|Architecture & Design|Fraud Detection|Information Security|Security|Application Security|Cloud
16	A Transformation Journey for a Distributed Development Organization	Culture & Methods	Burak Ilter Ben Linders	Culture & Methods|Agile Conferences|Scaled Agile framework|Agile at Scale|Distributed Team|Agile|Lean|SAFe|Stories & Case Studies
17	Product Goals, not Sprint Goals	Culture & Methods	Mahesh Krshnan Shane Hastie	Culture & Methods|Product Owner|Sprint Planning|Agile|Scrum|Sprint|Product Management
18	Top Picks for QCon 2019	Architecture & Design	Wesley Resiz	Development|Architecture & Design|QCon London 2019|QCon San Francisco 2019|QCon|QCon New York 2019
19	The Open Application Model from Alibaba’s Perspective	DevOps	Xiang Li Lei Zhang Richard Seroter	Development|Architecture & Design|Containers|alibaba|Cloud Computing|Kubernetes|Cloud
