article_id	title	main_topic	author	related_topics


1	Book Review: Developer, Advocate!	Development	Erik Costlow Geertjan Wielenga Jennifer Reif	Development|Architecture & Design|Culture & Methods|Neo4j|NoSQL|Culture|IDE|Graph Database|Database|Neo|Marketing|Java|InfoQ|Book Review|Netbeans
2	Q&A on the Book Quantum Leadership	Culture & Methods	Ben Linders Frederick Chavalit Tsao Chris Laszlo	Culture & Methods|Leadership|Culture|Business/IT Alignment|Enterprise Architecture|Business Value|Management|Mediation|Architecture|Mindfulness|InfoQ|Agile|Book Review
3	A Bottom-Up View of Kotlin Coroutines	Development	Garth Gilmour Eamonn Boyle Ben Evans	Development|Architecture & Design|Java Bytecode|Java|Kotlin|JVM Languages
4	Kubernetes Security: The State of the Union - a Virtual Panel	DevOps	Rags Srinivas Scott Coulton Liz Rice Gareth Rushgrove Maya Kaczorowski Kirsten Newcomer	Development|Architecture & Design|Culture & Methods|DevOps|Containers|Cloud Computing|Kubernetes|Cloud
5	Q&A on The Host Leadership Field Book	Culture & Methods	Mark McKergow Pierluigi Pugliese Ben Linders	Culture & Methods|Adaptive Leadership|Servant Leadership|Leadership|Teamwork|Team Collaboration|Collaboration|Distributed Team|InfoQ|Agile|Book Review|Stories & Case Studies
6	The Datum Data Binding Library	Development	Martin Rixham Dylan Schiemann	Development|Architecture & Design|JavaScript|Web Development|Dynamic Languages
7	Preparing Entity Framework Core for Static Analysis and Nullable Reference Types	Development	Jonathan Allen	Development|ADO.NET|Database|ORM|Microsoft|Code Analysis|Data Access|ADO.NET Entity Framework|.NET Core|Debugging|C# 8|Testing|.NET|Profilers
8	The Fundamental Truth behind Successful Development Practices: Software is Synthetic	Architecture & Design	John Rauser Charles Humble	Development|Architecture & Design|Chaos Engineering|Performance|Architecture|Monitoring|Resilience|Observability|application performance management
9	Q&A on the Book EDGE: Value-Driven Digital Transformation	Culture & Methods	Shane Hastie Jim Highsmith Linda Luu David Robinson	Culture & Methods|Adaptive Leadership|Leadership|Value & Metrics|Business Agility|Business/IT Alignment|Enterprise Architecture|Agile in the Enterprise|Architecture|Agile|Digital Transformation|Adopting Agile
10	Enterprise API Management: Q&A with Book Author Luis Weir	Development	Kent Weare Luis Augusto Weir	Development|Architecture & Design|API Strategy&Practice|SOA|Enterprise Architecture|ESB|API Gateway|Middleware|Architecture|InfoQ|Infrastructure|API-Design|Book Review|API
11	Candy Crush QA AI Saga	Culture & Methods	Alexander Andelkovic Ben Linders	Development|Culture & Methods|AI, ML & Data Engineering|Software Craftsmanship|Agile Conferences|Robotics|Artificial Intelligence|Automated testing|Agile|Quality|Automation|Stories & Case Studies
12	Q&A on the Book Creating your Dojo	Culture & Methods	Dion Stewart An Introduction to Kotlin for Serverside Java DevelopersJoel Tosi Shane Hastie	Culture & Methods|learning|Training / Certification|Teaching
